RegionID,RegionName,SizeRank,2014,2015,2016,2017,2018,2019,2020,2021
394399,"Boise City, ID",85,943,993,1059,1133,1220,1311,1409,1584
395160,"Toledo, OH",86,854,873,894,915,935,950,983,1047
394816,"Madison, WI",87,1119,1156,1194,1219,1247,1282,1318,1354
394766,"Lakeland, FL",88,1054,1097,1153,1212,1290,1364,1439,1537
394931,"Ogden, UT",89,957,997,1049,1113,1183,1254,1322,1421
394528,"Daytona Beach, FL",90,993,1060,1130,1194,1268,1333,1399,1494
394531,"Des Moines, IA",91,991,1013,1018,1038,1051,1070,1092,1120
394711,"Jackson, MS",92,1097,1117,1142,1152,1163,1180,1213,1258
395245,"Youngstown, OH",93,599,607,620,638,658,677,709,755
394352,"Augusta, GA",94,910,920,939,962,992,1031,1088,1161
395075,"Scranton, PA",95,758,768,785,801,816,846,885,943
394666,"Harrisburg, PA",96,954,961,985,1002,1032,1075,1108,1168
394957,"Melbourne, FL",97,1006,1081,1167,1251,1336,1401,1475,1577
395113,"Spokane, WA",99,899,915,964,1007,1067,1130,1206,1333
395006,"Provo, UT",100,1002,1051,1108,1161,1218,1266,1316,1414
394549,"Durham, NC",104,1184,1225,1273,1311,1348,1401,1432,1474
394995,"Port St. Lucie, FL",119,1155,1243,1339,1421,1512,1584,1682,1835
394602,"Fort Collins, CO",159,1236,1317,1367,1400,1445,1492,1531,1581
394405,"Boulder, CO",162,1507,1621,1701,1740,1804,1867,1910,1987
394623,"Gainesville, GA",229,984,1036,1097,1161,1221,1295,1358,1478
